,NOV,HES,CLR,APA,CRK,FANG,CPE,MUR,MRO,FTI,HAL,OVV,SM,OXY,ERF,CHX,CNQ,PXD,BKR,MGY,CPG,COP,SLB,LBRT,MTDR
OVV,0.7023234484083148,0.771994529443898,0.8071825610231645,0.7335079599112589,0.5167699192558608,0.7421134604542269,0.8232309113736501,0.7356450652347621,0.8836405145332837,0.6572754261366108,0.7760171202101798,1,0.8609958813247063,0.8054008102222828,0.7592849606963062,0.6596286930602634,0.7798084638352647,0.7049231982914274,0.6932872891418582,0.6875378333298587,0.7759200429686332,0.7286950836799558,0.7463359471354613,0.6167157670139923,0.9022627648086029
SM,0.8204008614882106,0.8947080343012271,0.878174882119114,0.835115573276201,0.6373425355825143,0.8890058605767037,0.8199339477080722,0.8660131616984774,0.9329724733351509,0.6706609922135506,0.8591991263725899,0.8762567870901846,1,0.904071635805385,0.8771087017355453,0.7994375717656845,0.8909051292856731,0.8609342531849172,0.8102997871806357,0.8326806362785552,0.8229585660922646,0.8625557025170553,0.8727662981687987,0.7364698636884535,0.9097799785574604
OXY,0.8581818665631138,0.9137258127977748,0.8748705311990151,0.8657371087491026,0.6466660105251874,0.919099849543652,0.7907692387047747,0.8863610584708544,0.9269664741129028,0.6708130621600428,0.9029503641974109,0.8124212126993304,0.9007517334673597,1,0.8731446365568034,0.8402615460846368,0.9031438768681531,0.8897895749597493,0.8554302352935634,0.8609233489902521,0.8294509708021836,0.9040751094447184,0.9109297566682872,0.7629604259757204,0.8855373452587543
ERF,0.8510105143802598,0.9102052631056095,0.862972424635591,0.8535501335664147,0.6796225547673375,0.8962523346820109,0.7575403188174658,0.8995527886907883,0.8993843071060394,0.672328526598282,0.8717520297759107,0.7797870473525678,0.8827522367989284,0.8841059476477681,1,0.8084056662626523,0.8942496052961766,0.8808390459459573,0.8491863609384532,0.8514831013290368,0.8444811750124572,0.8982582675471128,0.8884539705264538,0.7565758864864586,0.845691411534867
CHX,0.8372719959413131,0.8771274159921474,0.8057188872191214,0.7957752681395303,0.6555413554329097,0.8737728635117034,0.6361416681537468,0.8415426139581121,0.8271950997680743,0.644095136320683,0.8559093321226546,0.6920749167929787,0.8303454912424783,0.8353041440111993,0.8213641109170735,1,0.8520992487872187,0.8541735943559774,0.8373366766919423,0.842958420286329,0.738657548450922,0.8667630721328975,0.8774817657347667,0.7788684966615098,0.7893393967704209
CNQ,0.8893051609776021,0.9433848244724841,0.8816089933070784,0.8633700424940465,0.6876406801371908,0.9192139498273103,0.7463378838045339,0.9067149563821644,0.9101081305738444,0.6889630800838902,0.9173151373435694,0.8005878056765932,0.8974411378937133,0.9044160567477513,0.8931492908961539,0.8409550009839829,1,0.9152086187625227,0.8882971343014134,0.875713653965475,0.8636428945689248,0.9352139990069889,0.9264962530332289,0.7938093309536058,0.8710727896167145
PXD,0.9027277199262791,0.9573579607286884,0.8775993207036301,0.8476212675446888,0.7024485852472986,0.9380894596748226,0.7028547460921516,0.9156029190603063,0.8919166804476037,0.7011580307987914,0.9034853323477765,0.7237959737652372,0.8709883819063583,0.9053320326177459,0.8830338149412164,0.8531293891776494,0.9315166340516254,1,0.8976848031574441,0.8933980393544309,0.8107878472421028,0.9525563811707944,0.9347945030497288,0.7960209190601678,0.8325353691203684
BKR,0.898559513170708,0.909593419088007,0.8350160777551846,0.8295011641842359,0.6723637328931344,0.8831786459493032,0.7012255671044982,0.89191975886025,0.8487830297693959,0.7474689553223169,0.9139617741500364,0.7118927976237854,0.8259388390951786,0.8824823048262601,0.8462438516797071,0.827032412836929,0.8915151940338362,0.8901826465218212,1,0.8495040868507456,0.7772140272662095,0.9121783946546919,0.9287709300914895,0.7946523000070045,0.783162081828935
MGY,0.869921263490817,0.915268364252106,0.8424032647056582,0.8174209588824951,0.655432680444224,0.9131277182013849,0.6923781615923298,0.8830953927140449,0.8706922293444779,0.6450475332054011,0.8652381815338979,0.7128086871298389,0.8502677726051721,0.8833221401250531,0.8523568531438565,0.8442392603848362,0.8756949390868081,0.9010560873919284,0.8631022935872577,1,0.7738822418239236,0.9101837842382888,0.9097370629942212,0.7846677932090541,0.8142456372022971
CPG,0.7711860222729171,0.858166252299242,0.8422493301155126,0.7905478646522456,0.5970243186812246,0.8520519127851589,0.7763938848161922,0.8405933426192042,0.8646123349714376,0.6276977355599183,0.827515745801212,0.8390791394555451,0.8625629914819445,0.8715424630926926,0.8703455549489703,0.7422642056298279,0.8602967137009832,0.8113678458196907,0.8019825777667676,0.8026230590635436,1,0.8296141261488367,0.8290036491527445,0.7177173968281397,0.8297071446135119
