,CLR,FANG,OVV,MTDR,MGY,MRO,ERF,HES,CNQ,CRK,NOV,CPG,FTI,CPE,CHX,SM,SLB,PXD,HAL,APA,COP,OXY,MUR,BKR,LBRT
NOV,0.6387078555257258,0.7591546078218748,0.4229909788689392,0.43984210966426535,0.7787545249503535,0.6566482596268097,0.8155206307844401,0.9525561228490375,0.9382680264183385,0.6103022253152988,1,0.5547017279831621,0.5633338098506279,0.3161689756566601,0.7291483200709205,0.4565655325931089,0.9979706561677775,0.9163767590946149,0.8050533951010627,0.5799083119979818,1.0372585006142363,0.6746291656759286,0.7443502471315613,1.086620471645518,0.730814833867573
CPG,0.8097433337115731,0.9205307749516126,0.6298454231163295,0.601438089115078,0.9066283777206261,0.8961526920567199,1.0715142109929552,1.1254370499023292,1.1990946824823756,0.7230756084766267,0.9995872484446517,1,0.5602443972552374,0.45834926167315065,0.8318497331289845,0.5985400526074373,1.11270136268154,1.1126550669029216,0.9861356465859265,0.7013010111687121,1.2193375700825906,0.8478788005181956,0.899022085869306,1.1769830974370377,0.8264011177829809
FTI,0.5640948272644922,0.6858437304588764,0.3457800304311461,0.36800124828132197,0.7002921577074886,0.5486790776808276,0.7066594489438883,0.813359687974692,0.8115670435499673,0.572571232743962,0.8018006016471477,0.4548705131900075,1,0.2847485232367209,0.6712520447484002,0.4013987156023044,0.8859857198395782,0.8311488831069201,0.7000194496687389,0.5016534196150937,0.9003730647715504,0.6063675262476256,0.6595774687692585,1.0167264936119365,0.667404431514433
CPE,1.1479350934050911,1.275865376291511,1.022702737291085,0.9255184096481293,1.2798027055455448,1.3546247381969618,1.5071587133253879,1.5845776436674344,1.5791404764450863,0.9628086205796362,1.3413956636870998,1.1048110159752937,0.7992069213006351,1,1.1164995680368752,0.9272874157620434,1.6246929101837158,1.4463482282814835,1.3551886836205242,1.049635361607061,1.642840583866087,1.2541030129996271,1.2655630364066977,1.662624795684781,1.2212194404343557
CHX,0.6372963510765057,0.7846961674954399,0.42435780216346275,0.4583144033026843,0.8020747137915473,0.6738798319765235,0.8185814725449079,0.9417349960458442,0.9303874488164783,0.6544450173842468,0.8490578095127869,0.5430589359385919,0.5359359875412064,0.30820445443979805,1,0.47129787795920425,0.9753937747531312,0.923159797632068,0.8124079208507463,0.5857313062792985,1.0134459869329042,0.6790080751180292,0.7501827847965831,1.0415599736622692,0.7595126745855174
SM,1.1856263139385745,1.3566865235097079,0.9128484920463674,0.8903765847876504,1.3478062449128672,1.2948866818765892,1.5082760396735653,1.645361912141467,1.6658014135296557,1.0505337870268352,1.4233941179329201,1.0357324865912654,0.8391800474452895,0.6769789667496522,1.2629970113071258,1,1.6505564856014587,1.5837921408206523,1.3700751526643153,1.0416205111872539,1.7236014722189241,1.2372913523474305,1.309638956348794,1.7099679437404887,1.2204872865604506
SLB,0.60974057387028,0.7283303112597925,0.41302308522620224,0.4278999292813736,0.743336059012256,0.6440025127313208,0.7809395292240862,0.9054873521837375,0.8911812486275631,0.5813544367212466,0.8321418087591677,0.5227632677603471,0.4962360714148388,0.3177460580696023,0.6998048512790268,0.43806742745133076,1,0.8750147742988797,0.7733047684763006,0.5624273718239385,0.9824709616689509,0.6501681721813967,0.7033384372170621,1.0247480652554612,0.6927326988579771
PXD,0.6184441391853575,0.7614165886357273,0.3952036732135032,0.43244703395383005,0.7501514289181147,0.635972754878794,0.7886204648972984,0.9250618060076637,0.9067264063816325,0.5991076397230125,0.8196216947304257,0.5317267880734718,0.503918836641599,0.29555088877184815,0.6951754490142454,0.4379756687155976,0.925798535919016,1,0.7483441048206925,0.5533145139247668,1.0017579261050107,0.6481577507816916,0.71471842667311,0.9948450251556836,0.6856228061976833
HAL,0.7129114622660313,0.8363556787335052,0.5030323186853922,0.5162907836888018,0.8333236741207164,0.763920985311594,0.899633320194403,1.037921476168273,1.0407169524370465,0.6626076382171143,0.9527709217936703,0.6348719068442782,0.58712626903042,0.3707178896820809,0.8122289621840474,0.5156694503382196,1.087088529186476,1.0005640146237529,1,0.6654402452699223,1.131095388106496,0.7598881113208695,0.828702551677736,1.173082965942814,0.8031180920377932
APA,0.8783597995998614,1.051981474053865,0.6179941022338133,0.6362049889552774,1.0051705314442343,0.9646165386578228,1.1581118769733925,1.2776222862986086,1.2666802018919903,0.7863041595205205,1.1126451564887503,0.7506332982567538,0.654626548425564,0.47391237114463125,0.9548713781568127,0.6486042517873445,1.3002659543687691,1.2203819455981002,1.0899588728412448,1,1.3305008743403322,0.9491772126063736,1.0355841718190495,1.3586924375453495,0.9378732340093144
