,U,ETSY,VMW,EBAY,DBX,ZM,CRM,INTU,DDOG,FTCH,DOCN,BILL,LYFT,TWLO,FSLY,ADBE,ASAN,BOX,NOW,MQ,SE,BIGC,COUP,CHWY,CERN,TDOC,AMZN,BMBL,PANW,TEAM,PLAN,RNG,ANGI,DASH,NUAN,AKAM,PLTR,CRWD,CARG,GDDY,DOCU,SPLK,NTNX,WDAY,ABNB,UBER,SNOW,NET,CDAY,ZS,SQ,XM,PD,SPOT
DOCN,0.3924162860340074,0.39762458593370337,0.516367982933298,0.8142928241523907,1.2797526650710207,0.10622025445352114,0.8827315710819164,0.9855483509467426,0.10787474642233473,0.31301575885031824,1,0.1379555573813055,0.24456470197483213,0.16811343543597093,0.10705427421049593,0.7868499090998204,0.2831447794727005,0.6055412197078212,1.3643730858344858,0.1903303493097937,0.4767401422686227,0.2667005810173047,0.48178353801124163,0.29603392084381785,-0.17033724976801368,0.2291698742674064,0.5870685106069249,0.07445697192826009,0.19954699582967142,0.013256777256746516,0.16676822045893408,-0.030059720264190327,0.6625226098061259,0.013855016909756117,3.1144019638698865,0.8324978124939111,0.19339836251005726,0.4389432829501702,0.48458436754564704,-0.0015640976026350015,0.8756860676416747,0.4095192446240511,0.6480617236182958,0.3611379191202824,0.6170269207384218,0.3839939927764388,0.5015488866339942,0.5052056371646689,1.2208491044135419,0.7793750068438755,0.8112176204776944,0.3085629296948817,0.330818340966116,0.2260931971297882
BILL,0.32420970900577584,-0.0005555506777134442,-0.9423285260151076,0.48900476928944897,0.5668220607199977,-0.046913846325108914,0.5215354700928235,0.7605249166750951,0.5402748654073899,0.1138969165153275,0.2546562912904552,1,0.3174769209571892,0.16349829648936584,-0.11960757956330142,0.7239620531866325,0.20086564107660004,0.42451022153312434,1.0428155757962803,0.09019924245096163,0.18873952336444247,0.7560365610133947,0.4548616265471259,0.21459890445810414,0.09664531626311176,0.16789920187698704,0.41019602321507553,0.06142014026335624,0.15050383552067553,0.012341993611315893,0.22188251487454996,0.004469421666605503,0.44831913233564363,0.018045014190752225,2.372699302113839,0.3512163379187044,0.08559430503797139,0.3504986945141778,0.1324986143632645,0.02966931290540478,0.7594468218162446,0.25918899744729634,0.3455092015080916,1.365974009501674,0.822263955597226,0.32507274559295335,0.3101060095398402,0.8828930897115171,0.6537720581628055,0.5720310014073973,0.5191217795013696,-0.06103802294527096,0.23098563301657762,0.15748171761555274
LYFT,0.2582228845751011,0.08494589142565381,0.46513393837501527,0.43778718294917396,0.6530043039225306,0.007767209609972293,0.45367388162677497,0.47179619938168726,0.19245748539091437,0.10217840978040867,0.23729236608520593,0.09461550750144626,1,0.10983337556575722,0.013861416513490286,0.3605996107963366,0.16564054252708818,0.35518302195806134,0.4660161870856099,-0.027816380629948963,0.31079905968445604,0.3049973455288807,0.3333615428275653,0.08050415317093995,-0.01253643762069703,0.09009881158014654,0.33596542548488106,0.12017432863991254,0.11532154018132416,-0.0034498830512792304,0.11721834171986376,-0.009410885802851487,0.29371268736328093,0.030050733337828324,2.4258248455890357,1.0091697215077764,0.2300195075456679,0.26596029880129557,0.27529258888214947,0.051105814920847314,0.3735476876527002,0.15227668790965135,0.4770592097523231,0.11145990275454927,0.4678385327369152,0.8349925672708486,0.3591880646119403,0.34244750543633,0.5857006940720819,0.43202478865373,0.49512691958910604,-0.28145910584932415,0.18195802203132386,0.12480799540534877
TWLO,0.3256204657058271,0.3690771533009109,0.3782029701900099,1.9563712557826856,0.7113431688654492,0.14952321839843427,0.5987820155484742,0.6633225773372765,0.07041210704872809,0.1427625173893246,0.2856012863490879,0.07094093485991124,0.17581997393307666,1,0.11434504501107752,0.6998740242012161,0.20462407179204986,0.42753316231633887,0.9137928508549162,0.19251888195623923,0.38693956892936093,0.19181987515096346,1.1806495267109431,0.11307522488514656,0.25719579664415954,0.6828243443272067,0.47778265936551406,0.1191874236495502,0.1772640076489799,0.012354950302577722,0.12196250812558244,0.031058863136749396,0.47956457410997805,0.05467570255001965,3.030001442485708,0.42797346159064686,0.20629455040930095,0.39836373162162475,0.29534083013630086,0.1032717595040871,0.7605195054740038,0.27236544991038975,0.5261086963378888,0.32726457283792965,0.3699511759713948,0.2810737486846808,0.37911924143246395,0.32629251600698894,0.7110948966263754,0.6505286670896397,0.6620016408771903,0.26765146482794316,0.21156194938750097,0.16771930200201896
FSLY,0.3122785938647349,1.294571163911967,0.5352223192144883,0.5067699118969574,0.5495145925043765,0.23734909282968847,0.4365116106804935,0.6166693601327924,-0.7123634198998708,0.16103563766667015,0.2021573229611168,-0.16125305152407304,0.048814162005659294,0.13372083600499074,1,0.5207873818068673,0.07501070068530236,0.36552904739313274,0.6807225040201595,0.15180173253556303,0.22368032727877346,-0.117954778823901,0.5186504419868833,0.16748082156998442,0.17804672513418365,0.19941380777726128,0.3389289227679219,0.05507778694024342,0.16434680858123832,0.03492699690148794,0.1893047598026324,0.024111783178207596,1.163587367678809,0.0703194610344724,3.295202473031379,0.40065526308408644,0.14805502715404065,0.26190857159242686,0.22141740496484955,0.7549944972935373,0.6001525188968115,0.17871502861507668,0.37796535141643445,0.24678669895927868,0.09322249047315805,0.326833992189588,0.3362731911083723,-0.049155626085490636,1.1053772830009971,0.49312567667263074,0.47132027440479635,0.22440395008139014,0.11611021313664374,0.16245497715302196
ADBE,0.1959894246832241,0.10724541455559335,0.24405951945271656,0.4049820112716644,0.3804111544402064,0.05133409524505046,0.35171483944297727,0.49766954606132013,0.05883272009786252,0.08971408529575237,0.15934000187517125,0.0538188305248064,0.11811308422132206,0.1032795965141837,0.03787222232309223,1,0.11382453296850727,0.25995705319646545,0.6821313458913784,0.058743178422201746,0.1746736198312733,0.10366676100366805,0.3392696619797949,0.10492111257882754,0.13354846994190006,0.12148084004262188,0.2379866691005135,0.05257249589526937,0.09228401684875419,0.028138801612706554,0.07182928818675982,-0.0020839607770957885,0.23025447552915562,0.028523029262407937,2.149182804380548,0.24192301748022324,0.06955393740584168,0.1739389330282736,0.08395038884634548,0.055800973042819724,0.40842531481618577,0.15208339151271894,0.24591841410873902,0.198271415222037,0.2149206944339129,0.14303491787671804,0.1544239998995428,0.19103770796642963,0.3248693163984515,0.351125804826696,0.32407158798110863,0.07308782432774891,0.11045364762344599,0.09453638615181718
ASAN,0.6564691627014011,0.15116806152433138,-0.024620571490968263,0.5095301010873157,0.6284619395677898,0.15125701475576914,0.6670501893689041,0.5565235408789071,0.10823800181037174,0.16023509532101343,0.32407215415610896,0.08209183968317517,0.1647402907125375,0.1370677293021509,0.0195992383355387,0.8424091403166901,1,0.20640635731014523,1.0840567010485278,0.207167600666197,0.2998841437693924,0.13979424104991922,0.5952252828389227,-0.659103395144157,0.014087637893284913,0.13002519067347057,0.5419738906337137,-0.005044772944891531,0.2257954182864262,0.02093944068901469,0.14852830754047172,-0.11502048462764551,0.4039156079921926,-0.10855060778384994,2.778490613174218,0.5125946353042009,0.2744985974060017,0.36379816492263484,0.02127526174361185,-0.12057585917347945,0.7494091431895523,0.2849918077636277,1.4966923710641395,0.4031665937646979,0.4273046814827473,0.17782321232365722,0.2773871492024018,0.2919819963702196,0.913100246617293,0.6895365764023729,0.7428878781259586,0.24441823461777776,0.23074253928974878,0.28871430853830937
BOX,0.16945649330655438,0.08706848121898107,0.2661102494294454,0.17510198323452708,0.3962363797283352,-0.03459547762567271,-0.08709589238248708,0.48630098112827697,0.06158164233678408,0.0693083535790877,0.13907387908853758,0.027805628854746533,0.07108958170266179,0.06219213908261471,0.0252500936677089,0.3667913459161088,0.050358319995180346,1,0.45348649401157665,0.03827104153551701,0.15120325285044958,0.10476200235106355,0.2428440913932737,0.11401329800597955,-0.027454279208891638,0.038886491155690754,0.1771369380127751,0.06687927761076963,0.04315488021550617,0.010654881958096513,0.062185456000096145,-0.004123099996809754,0.21568266818918902,0.004009092166194687,0.695483615489237,0.16559674740736402,0.07734776526071377,0.1350129481233271,-0.05941399513984413,0.042333312712888184,0.21006049051819986,0.11603169707483522,0.21322032646551115,0.0646258936116497,0.24854102105142134,0.11105536000553842,-0.026277491638432945,0.14432909944448274,0.3018116274816659,0.2661038550724279,0.21751746462894433,0.06930352229298556,0.10200922195062155,0.06542992775867391
NOW,0.20166907708746318,0.08403451665837264,0.19984095656125375,0.2276172167152935,0.2965185178553951,0.03162448815139939,0.3791702446773583,0.4393655508721368,0.0499372036561358,0.08208743313650305,0.14447556881326376,0.04033809767875335,0.0651079653330424,0.02545388763115389,0.027985706930969984,0.3888003876760266,0.11737209828721971,0.1524029083539951,1,0.06344717260871212,0.14869792295749534,0.05728569920425929,0.2061777590124306,0.09784428704534562,-0.017907881301432255,0.08901559251248159,0.29517730234307943,0.0015978093187099306,0.07872713020743029,-0.010665123268244496,0.06390135358540898,-0.0021273285879522532,0.21856714574944436,0.022236896168395175,1.851786224521439,0.2038148512584004,0.057080461999052416,0.14799684884000328,0.05857035928182097,0.03557807745075044,0.23315103729567233,0.18431693688008796,0.24818436101956226,0.19482680505512887,0.21604266203759828,0.06222203631198623,0.14899655407081436,0.16881599359290764,0.29104208570423346,0.3455422935764259,0.3653651877706584,0.08885602460276085,0.11555264442050632,0.09534210193097138
MQ,0.38505527175742876,0.22261098062156223,0.3322451348315375,0.9184510809416396,0.8728630106010858,0.08184641208430368,0.6361180816640044,0.7318309136710754,-0.004416707397653462,0.23668969672050308,0.3479992722219826,-0.057338952406557064,-0.04260094169876865,0.2730015742384023,0.0996745019787486,0.8393299564140396,0.39204911590908836,0.43598379843498813,0.865214217257333,1,0.447581170423435,0.041302793950256246,0.6308143299766018,0.3962203110137005,-0.2105306658138657,0.2829602534749028,0.4463849233863963,-0.5453638484349121,0.1592154803518026,0.014259229398314411,0.18359131828810465,0.007074900589179277,0.38823468482819695,-0.08802407807620778,4.402629558464792,0.22019353144772758,0.1217449392615784,0.2000358160540207,0.29249902533249744,0.040121137350413574,0.6307285899060227,0.17968862804450747,0.5465965344816444,0.21148076337414107,0.21636020741935022,0.08950132890054385,0.44111839893063837,0.1384007599525358,0.6668665022177334,0.6211081793008557,0.7490413380757673,0.3382882769796621,0.24417063640600875,0.3201183685318262
