,XM,INTU,SPLK,DDOG,LYFT,S,ZM,SE,DBX,CRM,VMW,AKAM,WDAY,NUAN,TEAM,BOX,RNG,ADBE,BIGC,FSLY,PANW,BMBL,CERN,MQ,CRWD,NOW,BILL,SNOW,NET,DASH,CDAY,PLAN,GDDY,UBER,ABNB,DOCU,PD,DOCN,ETSY,EBAY,COUP,ANGI,CHWY,U,SQ,ASAN,CARG,PLTR,AMZN,SPOT,ZS,FTCH,NTNX,TDOC,TWLO,DOCS
VMW,0.3830074416286698,0.15398153165522568,0.3930252011918954,0.3042218883477446,0.28419492613696473,0.6319874134662621,0.005854502730582159,0.3799282093461769,0.42484347934543815,0.17139521143765615,1,0.3379515603793587,-0.35749410056087866,0.11062395783360113,0.10247875120836104,0.29410380453170376,-0.004971447605485822,0.48381091209031296,0.3105259948531246,0.14659806909881887,0.2240059807571614,0.1725684721418948,0.20443113511749633,0.26923174302683717,0.4619156825547725,0.6143003772407738,-0.20642601519640263,0.22097176740573202,0.5383315496848726,0.04194567470367525,0.218934489499676,-0.3062574535460388,0.3662737215423332,0.37801335244559936,0.4235398882848238,-0.0527566974577163,0.1514363902321164,0.48632901565914605,0.13818797360602342,0.34682240590400715,0.2330245439466867,0.4502221503859491,0.2563737015089126,0.49163938995321044,0.4600323007942679,0.11413144418188234,0.22748625701130795,0.20064894264346497,0.2838970747273461,0.3479171667117012,0.5828278404526481,0.15234517884097623,0.5202543944158844,0.08776066342336257,0.2758842910114356,0.3546372912809774
AKAM,0.08531554212293752,0.2568699357624371,0.5884479901103068,0.31671947555473207,0.5345589871274726,0.402936967657405,0.09786948121856841,0.47917815091881255,0.41529775002155056,0.2474649330382072,0.31971917127977595,1,0.18087378194859105,0.06696731141215188,-0.01417615681408077,0.1690520221941666,0.025138775449962146,0.33112151165332077,0.34005722713346304,0.13763723222437801,0.20196433580545003,0.20366895824217515,0.007689312651059453,0.17242925212826826,0.4265956573658798,0.5424540226371783,0.18494434431550175,0.21399049808882117,0.34036438655373136,0.17415283842060691,0.4383462110139269,0.12685800115007304,0.07722589000380037,0.41957455846015745,0.23514248409317962,0.0043466957554938145,0.22268387757601468,0.4211506403466023,0.2621502046379426,0.31866793623100265,0.3255501650112393,0.43873311210307103,0.192235537381879,0.34662775693581377,0.5485340432616123,0.0968938216479046,0.38495946172753215,0.13759667307779452,0.5060723116841298,0.22372676897861504,0.3827860839001947,0.17035139186310905,0.37453538369543093,0.11994827460219662,0.12005932495826867,0.235080035148866
WDAY,0.21141116563201784,-0.3217644889219857,0.4058691274305385,0.12137013447413104,0.241414062137427,0.3554211098216352,0.05758061881869247,0.4067931795997245,0.3552424405969207,0.40483618278756284,-0.3833309182868539,0.2810074964889655,1,0.3833073008054593,0.13914783378431675,0.1748466364767883,-0.01789201668925603,0.4150657913306607,0.35963691143128657,0.2298486044889286,0.20734346015643887,0.31329570411729946,0.13703726260486943,0.28549481208300537,0.3827974180414584,0.6566762989802063,0.6045752574254057,0.2853192101168992,0.4108736226203072,0.07319224046002244,0.4333162129350777,0.3037786317836029,0.19178332816550758,0.3863097053065342,0.5071013920294404,0.05957157431438309,0.3315143329085471,0.4399581575524968,0.2503221687312778,0.4441212019326322,0.39775782594211695,0.4091074159817565,0.22602865370176975,0.36565310166899406,0.5451220026642717,0.18155604471114248,0.2525583520282278,0.12583477642083193,0.38398357306662884,0.18840891895714368,0.47236293662610807,0.5654975588866769,0.26713367351252654,0.21152180980970448,0.3173410395012239,0.2833338004836864
NUAN,-0.026311913019348588,-0.18987436369559135,-0.15258006802393348,0.045336331680912986,0.1287488568377559,0.05250792114421701,-0.006999711804217918,0.09841740319488004,0.07111448157157645,0.14117558626530563,-0.07634654457086668,0.08949786696406634,0.24960544559132292,1,0.03629561004062713,-0.08107623281336333,-0.1283253373658154,0.10864589677985563,0.1325895538590712,0.0168649508773503,-0.11661147242600114,-0.031269750531008285,-0.015124096169831892,0.13332308159436326,-0.10055403584154086,0.18320467464617837,-0.0191482080550462,-0.008123620381063523,0.08352538268392702,0.053209525897110886,0.0611088488689933,0.20454864070264353,0.053108416384010475,0.09033952438828255,0.3079587261801523,-0.026127246015366014,0.06741393068006975,0.06665208329301005,-0.09111357742939821,0.0664516052034405,0.16518911977043202,-0.004665831623090045,-0.038780944666111636,0.1706516914262528,0.20098363192343952,0.10351372626253622,0.014278895821739888,0.008718364779917795,0.06874531235212797,-0.09836967594897657,-0.058498101448573016,0.40325432264150857,0.15105352864646174,-0.013039952119187997,-0.055051780119472454,0.0690331033124739
TEAM,0.32626630135294166,0.19262755416089006,0.34753918250275007,0.2527245094214642,0.2708211551322407,0.4049051536096008,0.18643308250411508,0.44956371539585743,0.3166686111504865,0.2956387453467405,0.1438448272188856,0.2745441559524592,0.34564058166640466,0.17559245143888141,1,0.37652651943303633,0.10603087400515208,0.5030017139747012,0.27736726116942556,0.15954970132698568,0.2650186984803318,0.23798469413404208,0.6704150953708317,0.4232735979503414,0.37352361809032203,0.09420904663289886,0.16878080116079605,0.26793397165860267,0.48302011868377603,0.20422742602219743,0.44421702131149887,0.2595170110675304,0.07837659751498643,0.30622520462664055,0.4361669565864123,0.021724521075753827,0.42462965742503134,0.44451808108470614,-0.08546291925525908,-0.058294063334751255,0.454766496374081,0.42040491343714087,0.2940810960325556,0.5200146042959083,0.645051186843726,0.3213635420232335,0.2504366362223505,0.14090082742874266,-0.6391961923526058,0.29934557989121013,0.6561177406302167,0.2397413230635784,0.39625727053481147,0.20679243119755622,0.04145033625300061,0.27256879563411585
BOX,0.2735498249547345,0.2349000857117134,0.33243077216868305,0.18355560027480602,0.246002335565628,0.44925472418751666,-0.14762667527925927,0.4138421773280136,0.5292560282789067,-0.43024730033121256,0.29704609817060057,0.22871828463203725,0.07767624190187045,0.09052820543941657,0.11007263280829324,1,-0.08392236518731906,0.4712177265409531,0.33883323427727563,0.1076717744369407,0.18693001840955162,0.3620326329837796,-0.05537590953785721,0.27479826427822857,0.2684298608007866,0.49726929985965285,0.1542594892135934,0.0971638524636012,0.3760306863650453,0.02055958166955803,0.4637989907580165,0.23840078601040157,0.1806013298002794,0.3447225567710705,0.5522571483603987,0.050660301766215755,0.2948328405561521,0.44313203804638945,0.20058459115452854,0.2973791605415926,0.3005077953495133,0.38151156014135745,0.08412387487653289,0.5046103038527325,0.4094980635773768,0.2189331283201631,-0.05597327493972208,0.2899933329530139,0.34770225287750056,0.3508637810190603,0.6364720130649018,0.17288178173615454,0.3870120638030774,0.05882146933097217,0.2240487125758748,0.33502937668242205
RNG,0.4594992628071641,0.13386291997024652,0.47611669301052034,0.20793963103199437,-0.07015437890293098,-0.03618776213420369,0.5254267507816925,0.4654276658741711,0.29116379368019224,0.2523071044990604,0.2789699214786028,0.05984810853231628,0.3788993806735614,-0.03133974073806533,0.17543629882693437,0.12309563244460904,1,0.5508893657642664,0.2993462482180508,0.23683800061947227,0.2662890652963377,-0.034141003645847615,0.07904673981844694,0.5269863090456312,0.48199018580229847,0.5012926057150566,0.3121208493094028,0.2417639635849819,0.47051554090467806,0.7755488488771393,0.373619271650633,0.29971675249386187,0.3570515598674088,0.04485223132667336,0.09774396872297164,0.2870627602187029,0.2851421126946232,0.4929175349436859,0.36979745687168086,0.3547419961365034,0.4153175246092889,0.23411149823232505,0.43650702435819877,-0.29672142109729727,0.5209493496549866,-0.0949347399681467,0.4265939194872377,-0.13621233438886998,0.3248789673674432,0.2754363601918523,0.4885263852883521,0.2082636005418622,0.2056769912532047,0.618697171336564,0.34656525129150473,-0.49026309891041064
ADBE,0.3214997169124228,0.5004495203247753,0.37769345418347866,0.3491605209508149,0.3316543045761208,0.6052769536325409,0.28204413610599277,0.5303915487239573,0.514288580029397,0.4265212921756284,0.31053639846105796,0.32234673234105804,0.2149682489200488,0.19432437751087958,0.16823324806653137,0.2752842058936354,0.007511808115307547,1,0.3319887633210725,0.07619770850736499,0.3406891293356205,0.39627353213006206,0.08056938120162689,0.3412984214501669,0.41634006288544606,0.7294811401873758,0.290032317239132,0.23261263937313334,0.5455341155729101,0.19642169313195423,0.5317044204309674,0.3361438380907763,0.20436096048859373,0.28974495096683306,0.3324103016635662,0.44499162203484394,0.3186869092194482,0.5748334862535397,0.39247861518294713,0.5727591630225888,0.46119835257551034,0.3840336483160036,0.2520973249614388,0.5532313529466563,0.6405829352045301,0.5581240113194025,0.19118384233448418,0.24321834044895632,0.46185665151768845,0.3362765593286927,0.598429048529725,0.12014996597097122,0.4016981347891023,0.3654572762867415,0.4088988799620839,0.38150124751273196
BIGC,0.026054430263311487,0.11177807091375384,0.17071813524268664,0.6420944464438931,0.37213156091020194,0.16200275107961504,-0.1213631717447955,0.45426504438384513,0.1462254113648319,0.35234500429925675,0.11209629858655921,0.2915833551310028,0.36114474101566596,0.2857875667588846,-0.021248012298016806,0.19799980098264303,0.008630223857736354,0.21369384666557406,1,-0.09550389587812037,0.29231644254726746,0.18077295364668153,0.007255417248973852,0.36781402803322794,0.2512180958203267,0.4563314196441324,0.6236955534318416,0.3401477648908364,0.6489754203211537,0.12063364244260265,0.41971963404300283,0.28227364907198793,0.21839045535146973,0.4285701395404102,0.519157310990272,0.04087870489176218,0.42671749384463054,0.35452576194254776,-0.03442187248406898,0.5250667530619187,0.5192886428902924,0.46246144927698024,0.11495672205430044,0.4318643954000448,0.527200003021488,0.16889000400339677,0.20680089352707606,0.3353991176677908,0.4061415632703306,0.41271317954689246,0.41537799810626375,0.3279521258547109,0.4185352572817605,0.17004813440088176,0.34376823138772294,0.23011129285652043
FSLY,0.2662042214234518,0.314991101929185,0.21975748068040152,-0.6032987923010183,0.0689429799321653,0.40807445000928455,0.3069578464192254,0.3903987182683445,0.4176613739307373,0.25437535151547364,0.34781190603757517,0.3439341249583074,0.2526152611554305,0.2363682135267977,0.15239557491566072,0.26579209642511575,0.05900433176780596,0.16728036604108326,-0.20546734180031687,1,0.3324608551300217,0.13534767272725848,0.11115088231809411,0.4071540156558417,0.32771316139520756,0.5042595962913345,-0.26505598933369795,0.1717777480331012,0.021448400142174227,0.18706072986375516,0.3348336601037634,0.2843617534341073,0.6988321452451234,0.18398310181373057,0.08565301702015819,-0.4525741435831196,0.26828221956321946,0.3671120085510648,0.8458480212525522,0.44240637224252116,0.4875291399063389,0.531315373263521,0.29701647057416947,0.49190595197689796,0.594659306660156,-0.2573568435957771,0.36147978454011725,0.2925351177397949,0.3624542312030281,0.29903916254672164,0.5397895670718206,0.2311393018478528,0.4078579591021485,0.28401230820789525,0.30435194538093446,0.3093458210783086
