,QQQ,XLK,DIA,XLF,SPY,TLT
PINS,1.1279000593596415,0.839875979739481,0.6493357257049384,0.06677109699101247,0.9193702397855832,0.27948339569028563
AMZN,0.5621343697965503,0.4424592593987246,0.3241600817686622,0.06603738907417218,0.4870768078546187,0.1588323655893838
NOW,0.697491641349681,0.6827849944865165,0.4990647512284838,0.09426813495177072,0.7143374203204448,0.21642467656954864
RNG,0.7240699377176174,0.7924492283049056,0.6224830067368461,0.09823939676113914,0.8771537909596825,0.1665383426926353
CERN,0.04915693207657456,0.08426177963883742,0.1329010024330237,0.058634313005759185,0.11248680490032477,0.046930178394962274
TME,0.5210384618416923,0.5168570799546401,0.7511367025280495,0.46351481184601173,0.7894085321874755,-0.004396313986895338
PANW,0.5986208555930793,0.5769335790798736,0.4112736981832352,0.11684108438992992,0.5858856406936116,0.32404942234481565
INTU,0.4783860751842523,0.470916640750049,0.3335151946284281,-0.004083559040895595,0.48097474778094823,0.26130003689517634
ETSY,1.0060732724730856,0.9244903904364578,0.6111669957386296,0.2319866580808065,0.8686317550091601,0.389257129528486
IBM,0.128823167339365,0.15897064475211858,0.44853604803607916,0.3148416267378419,0.3433616784746537,-0.1454397325822002
ZI,0.7445154140129152,0.6834131960859275,0.6377517150105123,0.22797746277866976,0.8665065205551504,0.04579430483255181
RXT,0.7232053551291742,0.719462136361897,0.5115769469383993,0.2555026114160112,1.104908598893486,-0.11365418267088365
NET,0.9699634540055441,0.8739599292948201,0.4976716054850052,0.041958634022314596,0.9139876445767793,0.42864010882750936
PD,1.2580709547265192,1.1518172771711688,0.7301890867262278,0.026615387802744795,1.1055911074966691,0.4160444788041638
ATVI,0.40266918547807184,0.37079718648072807,0.32602566293902097,0.029720524598497368,0.4073365090818449,0.19920437887906584
ZEN,0.7723234811742126,0.6689800242785132,0.5330722495165081,0.03375851096201321,0.7721470236872935,0.20466351172867556
CDAY,0.7755545268888081,0.7534662180037102,0.582049564022077,0.11687719761380094,0.8248167825334203,0.23132699661831738
ZM,0.958760936709992,0.9263594865822549,0.5598945074837598,-0.05378892010391133,0.919326424276993,0.48048206664914034
ACN,0.278768598410163,0.31779165246676083,0.5941820262708148,0.3419355915978405,0.52479940902964,-0.10930120161271155
U,0.8449915482013398,0.8369903242105345,0.9000804092242417,0.2547549386962235,1.2179802194783338,0.1633501084163086
CRM,0.45722068486071293,0.45277105192455874,0.373323818071859,0.05365629751494568,0.5432551325025359,0.15765309067244607
BILL,1.3675349217845605,1.3366461362748743,1.165234066839399,0.3428605837668853,1.5737536369252128,0.13853363347603473
LAZR,0.7745966191529421,0.7209307166473036,0.7730164172917845,0.20012117545582983,1.10223608907426,-0.38157670445838177
NCR,0.40416104936552166,0.44892664298703244,1.0681313777745698,0.6634202832281917,0.8924957397655019,-0.27177337999797185
DNB,0.2403393995659191,0.24150636123764538,0.38848943144678166,0.17368618779809744,0.36455915947136414,-0.016190008190224304
AKAM,0.3201034794227308,0.35272987339462175,0.3482110119017805,0.06656846039425669,0.3766126977890198,0.09708906824637427
BIGC,0.8979061329986165,0.8329262641469847,0.9183314144081594,0.46758988307641125,1.1644021306490717,0.14704540370610147
SMAR,0.8567311020182227,0.8503469671449091,0.4699349727221491,0.04878419202808831,0.758767113294832,0.4110753172105358
XM,0.5391035210901062,0.5707200829836478,0.7461527245900663,0.31756104555592235,0.7882803916796784,-0.01714441734887192
SPOT,0.9525893130610894,0.9008545750599661,0.8924213997056145,0.19178947952733238,1.1356138590318243,0.049118685327825304
VEEV,0.6504079794093761,0.6335520028875982,0.3812761528046107,0.07859400529391408,0.6398632350079339,0.2943454053003703
XRX,0.38190482037382034,0.416216088257037,1.0206864624985543,0.6535317041770689,0.8487290553789612,-0.24658710905868766
CHWY,0.6181243625749225,0.5769528207771958,0.573345298407354,0.27111856959468356,0.6405523398098281,0.1342854229124364
ZNGA,0.6129511655649452,0.6033022482069229,0.5674623049920278,0.1590185944789474,0.7315632279208639,0.5012410722779018
SFIX,0.8990587689738937,0.8299477271560216,0.9982654649890423,0.5048415302623144,1.1283278076679646,0.014223854980234549
BMBL,0.869423686725615,0.8906693652796178,1.04418106024086,0.5162122775602881,1.1404137224744475,0.12423125346713607
MDB,0.7667462957620379,0.7886716744208383,0.43389794409364574,-0.14350125235267622,0.7102896649855264,0.392418249020592
ADSK,0.6132463484538363,0.5854485433738373,0.46244750003209584,0.13061165302241254,0.6337797281819727,0.14425287017137742
TEAM,0.37811286970212765,0.5823976678866374,0.09747914316762926,-0.1863656626754243,0.4112968343007748,0.3860660093613227
GOOGL,0.6032209566076157,0.592064237426785,0.46530881451075057,0.11995444982988984,0.6447775235828874,0.21845624907137803
DOCU,0.8660946790198522,0.8392505373836333,0.489988107219284,0.07800738721302224,0.7935540117700743,0.32969701270742596
FTNT,0.5485392962336326,0.5407125583744622,0.4526386308059541,0.025494308570646496,0.5937403688395196,0.25659878764925576
BOX,0.5106934815166349,0.49057722395577497,0.33466858836492364,0.09916443253517107,0.4893249426465283,0.1774795551296158
SABR,0.6642025430827607,0.693231097258058,1.374156545809916,0.7605254330491864,1.2558106599408445,-0.2881919748585869
ASAN,0.9949863060452637,0.9519576663972655,0.9198553674826925,0.20425646692342547,1.1202907942147255,0.11901821344138096
EA,0.33494622927709555,0.31375660369641883,0.19955665706848053,-0.012908644786288417,0.3343064470756178,0.1465612971275914
TWTR,0.7573352092134028,0.747052374696437,0.5396723470461225,0.060016113280819856,0.8632911996868937,0.1765786584633561
SNAP,0.8851226725234982,0.8681974288420149,0.9604718560284111,0.33539538675536235,1.0756056894339479,0.0870702491176972
PLAN,0.9163363640151732,0.8667200587217183,0.521739008714909,0.06777820631824605,0.8427266064499255,0.3162388411560703
AFRM,1.234712617990404,1.2825220072918868,1.2374936690616811,0.5136329625656463,1.599043817424395,0.18952387307539428
PAYO,0.019152011055057636,0.02312516057299354,0.06247015316968574,0.08962111538792135,0.032604403037831096,0.0513456056461452
TWLO,0.8923719081399356,0.8960379015199246,0.6489639540287585,0.09326501604609055,0.9525412979378473,0.2003384940238502
DT,0.9628299199596144,0.9299192763454105,0.6643207404003784,0.1155896753041605,0.9733512474214538,0.161718071394204
RIOT,1.3526799919621295,1.2641700394022792,1.6791885409424234,0.6420828302788537,1.822439834483725,0.09174928289450475
FEYE,0.5299291623767995,0.5422021349587541,0.5165567366623446,0.15607186889242938,0.6121980673610241,0.46240510398334644
DXC,0.30011592966604755,0.3524703079878886,0.8870103648035481,0.5872711731060598,0.7207680355977385,-0.3034666322993832
FLT,0.33870857523712616,0.32560167507458887,0.7392571442176089,0.5053640481503493,0.6211684786650884,-0.22883449136123638
