,QQQ,XLK,DIA,XLF,SPY,TLT
SQ,0.6089319669267396,0.6069361976197782,0.43725175355697593,0.2083924156224947,0.5407558796635111,0.10128635277818346
CTXS,0.33624181041850176,0.35358838425820616,0.1492410811819845,-0.07564186213812857,0.2588819833932158,0.18037957248810696
OKTA,0.58430958417915,0.5771384438907365,0.25283556436551624,-0.014710694322645086,0.43649579348035744,0.23862782258310822
CDNS,0.6048474855087591,0.6068883176607562,0.2902180267314384,0.041237064968539835,0.4459061099554829,0.2761250249793848
SE,0.5227373936269888,0.5051915053843606,0.30983704320963906,0.12695322794959416,0.4378078453820532,0.04619427558601191
MCFE,0.33007647650314603,0.32273584547223505,0.28904551049973637,0.19649096387524762,0.33194414859617255,-0.07869194750701707
CTSH,0.5193046280221896,0.5302915740178334,0.49320778557349576,0.2882710815961796,0.5428666427232414,-0.004679285125522101
GSKY,0.37049119483582704,0.292513313854218,0.37519909594744455,0.26899881668640124,0.3731174144143056,-0.04527739842658006
UBER,0.16675901381263777,0.2160465025726106,0.2558865110726775,0.23049784166127418,0.23572067331645294,0.03689521032171491
FTCH,0.5571287679503535,0.5348780834516954,0.38149845231139995,0.1754373512412857,0.5101309583096486,0.006347990992649432
LYFT,0.322696565044798,0.35163136176359716,0.4258445968562765,0.3780471753751557,0.4076343282268041,-0.10723117446881701
COUP,0.5645153974236493,0.5396202383786455,0.18808177587677602,-0.03124894654585808,0.36321273650232183,0.21363468938417762
SWCH,0.47389088272785157,0.4680338964856267,0.22347731060660606,0.05597386229489172,0.35016189721200675,-0.13637039597714526
VMW,0.4975451339008346,0.5150357928853553,0.45894063134005014,0.28977959053315505,0.5072233563797601,-0.034553261036662564
BSY,0.2771677514209422,0.28104429373134554,0.383729858557945,0.2562002203942179,0.3549501316975651,-0.10416063219208861
TTWO,0.3417704430401608,0.32778154849901897,0.10465641012878442,0.009123037477107729,0.24671101510247875,0.1533232008418706
ADBE,0.6051756028730488,0.6057944019756936,0.15979165822091157,0.06925766195461601,0.3369693563510823,0.29049367842098806
FIS,0.4388491928407334,0.4481658546406212,0.5596328490172543,0.4618029942414792,0.5300221690140359,-0.077525503716602
SNPS,0.6255584424545294,0.6200758444000765,0.3421199902416743,0.07393774616353892,0.4881904608654835,0.24942170445159767
WDAY,0.6122911272064557,0.604363899553952,0.31195215827291356,0.055404360859575896,0.45666707681401547,0.30895402486115064
PINS,0.4222697018164898,0.5311615037592451,0.3073260283486538,0.044854203041392496,0.4363071029835561,0.16150293280187936
AMZN,0.492171376850571,0.590156787529861,0.31845932483091643,0.09180168120653141,0.48185344939445063,0.20582475737599
NOW,0.6338589312162783,0.6346402665918695,0.3597860778417534,0.09499346534542683,0.5102291720802109,0.19101915426408606
RNG,0.5439470387951773,0.5309881082886573,0.2944225817911947,0.0655595645197613,0.42586612804212204,0.10065186663859488
CERN,0.1083834071547407,0.21654633111617547,0.23849817653403704,0.1466207845814123,0.2128851488108731,0.10230221912768471
TME,0.22961639541796502,0.23208262828836637,0.22347081830691115,0.18981108496175783,0.2510325008779975,-0.0016362823642019314
PANW,0.5977817840034748,0.5858013079043936,0.3291875598340098,0.12860025759622226,0.46547694808707923,0.3018204676621259
INTU,0.5145659964584213,0.5156291035745255,0.2551491592495965,-0.004477294875686161,0.387461377341025,0.25076250238890496
ETSY,0.583974011006806,0.5728023426183044,0.308923017470617,0.15971135765933334,0.4233820537605584,0.23467501776114194
IBM,0.2518040252083053,0.29300826246393985,0.5534127389826786,0.5565005360500672,0.45107030190464603,-0.24650489280232635
ZI,0.46178086030457427,0.4408084556406054,0.295874236043678,0.1482691793686028,0.40205452716665474,0.02646651271204377
RXT,0.2666416669061353,0.2712232932196181,0.3231613406385871,0.22733654010454846,0.2982267676576779,-0.09484854004312902
NET,0.5008388334239023,0.4707785993122475,0.20313443677963333,0.025161138389413765,0.3672625714678642,0.2328219698867859
PD,0.6036788882078346,0.5756577982591028,0.30816690420760345,0.016207360036971468,0.45811546367836703,0.1925460867874814
ATVI,0.48406884894731755,0.4528983565068646,0.2805570897670658,0.036168975231201696,0.368696702499174,0.21268293702954097
ZEN,0.5547803930071326,0.5717124532467208,0.32188975847925694,0.029218903068798475,0.4753275359398971,0.16350352272507243
CDAY,0.6240541119897876,0.6173682869448762,0.3539807699316403,0.10214599520092611,0.5020066082764953,0.186201312302343
ZM,0.6098205765537144,0.5995492313114722,0.2836171118210667,-0.03968900638294511,0.45131293262366834,0.30616116414620465
ACN,0.4158455275328982,0.4715436382808835,0.5928124491456839,0.48634831022373914,0.5552835069231944,-0.14658607497121615
U,0.4601271124147445,0.4629687053661129,0.39639216153081414,0.16366731241398777,0.5316853741477625,0.10281899472779676
CRM,0.5537580733112114,0.5575932136768313,0.32446634168026395,0.06596727023097855,0.47709823429269066,0.17956072877192836
BILL,0.7245900306760401,0.7202310561973525,0.4652365962654336,0.19176692473117934,0.6284179666352897,0.07255471974876687
LAZR,0.2955896774206457,0.28326025950299216,0.2961000368281261,0.11561018508730683,0.3848151125460871,-0.1609964311682122
NCR,0.32766418403833114,0.35499387588710135,0.5821739978132202,0.5148351595948966,0.5066816510547516,-0.19991604315305173
DNB,0.4050898165452998,0.41420884245988837,0.4482574737152349,0.2959355098205065,0.4467769049213829,-0.02513405121040347
AKAM,0.4620143713409575,0.4836009762835274,0.3409500408886186,0.0968749001335372,0.40063969580885866,0.12649404273022252
BIGC,0.5021175603184744,0.4819472655703141,0.41429805569073475,0.3006728654904733,0.4883037462706752,0.07924221142240827
SMAR,0.5386405136878988,0.5440091880583815,0.22798715142461054,0.03291382118525579,0.37174218156231753,0.2533954733527014
XM,0.4137741035168433,0.43783848555004634,0.4024147428070208,0.2402972805464703,0.43290142744856547,-0.01156010462888729
SPOT,0.5883902879352394,0.5661343402914231,0.38767278742039823,0.12112126120421486,0.513849490149699,0.028053038870962343
VEEV,0.6094395070041957,0.6030956880630728,0.27288425563364793,0.07886024740761288,0.4562492824006026,0.27055188225269045
XRX,0.36029424017886325,0.3898486568584147,0.6438477177039675,0.5860075559409645,0.567441889201052,-0.20479484708421367
CHWY,0.44220107010305487,0.42054840021649637,0.3147186212631821,0.2030673822873869,0.3695377834480411,0.09341634670237035
ZNGA,0.6360140317619367,0.6372857025219492,0.4181965700216173,0.16357172277953744,0.5545926953271162,0.2081738371169577
SFIX,0.5467703493898801,0.5306833358145115,0.4727846329358918,0.3360633781328123,0.5359910795189535,0.008654225485994128
BMBL,0.5082779416542205,0.5220139927595395,0.4723924703985283,0.3288556706224231,0.5041954348044578,0.0716542108110412
MDB,0.5052492474634881,0.5154128943842817,0.20691420545572203,-0.09776444935444233,0.3463423386053539,0.2433390626599321
ADSK,0.5863606620649803,0.5700963263047214,0.34614114394081913,0.13986978594217106,0.4729346961720116,0.13161891365010916
TEAM,0.156314911316984,0.42792711987880316,0.05632747154022673,-0.15150839656388615,0.2323214240636559,0.283060687734473
GOOGL,0.6768115521976525,0.6755510239517818,0.40221263236278376,0.14734179259782534,0.5565132548278316,0.2479413096263052
