,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
BIGC,0.846753239794145,0.8778347503865399,0.18298827583281974,0.16297267309035712,False,False,False,False,False,False,False,True,43,43,1.7700586380467946,1.7948196562085388,1.3581308625924526,-0.03478943130802616,-1.3929202939004788,1.3233414312844265,-2.7510511564929314,2.681472293876879,0.3027466837554348,0.24750415683214877
ALIT,0.6023348960177405,0.5483299135979475,-0.08641177396749766,-0.047120408108470624,False,False,False,True,False,False,False,True,42,36,1.2036699650099634,1.2815623404835481,0.6515691566991515,-0.09081681545482137,-0.7423859721539728,0.5607523412443302,-1.3939551288531244,1.2123214979434815,0.08717875499705074,0.015595387614006029
DOCU,0.68976871546327,0.6164491834987925,-0.171443825251411,0.20386211499941487,False,False,False,False,False,False,False,False,40,41,1.5055286631327434,1.3390437024917097,1.0101119035706887,-0.027405436000127497,-1.0375173395708162,0.9827064675705612,-2.047629243141505,1.99281837114125,0.399396599476598,0.3614970435262316
AI,1.2403399132013415,1.0134162425784745,-0.4126092834879058,0.060252714324929624,False,False,False,False,False,False,False,False,35,34,2.999856452014146,2.4261373447712518,1.3315386125842028,0.09537621839884945,-1.2361623941853535,1.4269148309830522,-2.567701006769556,2.758453443567255,,
COUP,0.7814308184975066,0.6722614684930633,-0.3689223400881305,0.10841955228691236,False,False,False,False,False,False,False,False,30,33,1.9947815159962903,1.6670600820500252,0.9882227434390377,0.07431229780692171,-0.913910445632116,1.0625350412459593,-1.9021331890711537,2.050757784684997,0.3737021264968873,0.30573277130460375
DDOG,0.9019734650214541,0.7929557653585725,-0.04784348811270034,0.09000748017515392,False,False,False,False,False,False,False,False,28,27,2.592633379512983,2.4065920943204078,1.0526880042215334,0.07584543134053504,-0.9768425728809984,1.1285334355620684,-2.029530577102532,2.181221439783602,0.383817675664078,0.2933240691679114
VEEV,0.4979446142866494,0.5289958177702859,0.0976412382227898,0.10692928552880632,False,False,False,False,False,False,False,False,26,27,1.5711090571045707,1.5709336731701695,0.755587342823372,0.0728352472305988,-0.6827520955927733,0.8284225900539708,-1.4383394384161452,1.584009932877343,0.4291877996609518,0.35204277598099265
MTTR,1.5328474502165965,1.1485431889135687,-0.8200431214016044,-0.046875419817519415,False,False,False,False,False,False,False,False,45,44,2.944373493563103,2.274113538622085,1.600256262391187,0.1100660296757848,-1.4901902327154022,1.7103222920669716,-3.090446495106589,3.3105785544581585,,
APPS,1.3164373669330243,1.1458764804988926,-0.10813952189643605,0.2236388334962316,False,False,False,False,False,False,False,False,36,36,3.106360277040649,2.729177054385896,2.0241811578880804,0.04859691843621319,-1.9755842394518672,2.0727780763242936,-3.9997653973399476,4.096959234212374,,
DXC,0.5693663285677679,0.6679105897440283,0.1621709910514494,0.07660907480066992,False,False,False,True,False,False,False,True,37,44,1.3025020616263672,1.3376680790880513,0.7926468522288285,0.03180055719723059,-0.7608462950315978,0.8244474094260591,-1.5534931472604263,1.6170942616548876,0.31691765494995283,0.07309599678653134
DNB,0.3801880245236771,0.4027355395826271,0.05929719571597958,0.03349453522835388,False,False,False,True,False,False,False,True,37,41,0.8684349344437987,0.8521380248005963,0.42325406409012284,-0.031872915927889815,-0.45512698001801266,0.391381148162233,-0.8783810441081354,0.8146352122523559,0.2391332128794379,0.1572437397211991
NET,1.427749949080919,0.9542107073965534,-0.7703475393008066,0.1570973552303242,False,False,False,False,False,False,False,False,43,34,2.8783115877340806,2.4389132086255207,1.400292992501678,-0.025206384651365876,-1.425499377153044,1.3750866078503121,-2.825792369654722,2.7753796003519904,,
FOUR,0.8930727802734323,0.8363333020238493,-0.0023992113723847464,0.1012583898837589,False,False,False,True,False,False,False,True,38,43,1.8871651246916126,1.7407193181025695,1.073679377124873,0.09159109925699942,-0.9820882778678736,1.1652704763818724,-2.0557676549927466,2.238949853506745,0.38036804853469997,0.3001671388413114
SPOT,0.9180385841371936,0.8176824298906623,-0.20031784726979995,0.1442718413728703,False,False,False,False,False,False,False,False,36,34,2.2163794170335067,1.971874638114174,1.1431005387984357,0.17453630746987087,-0.9685642313285647,1.3176368462683066,-2.1116647701270006,2.460737385066742,0.30870881803265005,0.31314921878998814
CTSH,0.440711010145663,0.4713601830326898,0.046481865973310166,0.043282331678074604,False,False,False,False,False,False,False,False,26,34,1.2877801424879107,1.1051611342699457,0.531732466541314,0.03211926740451061,-0.4996131991368034,0.5638517339458247,-1.0313456656781175,1.0955842004871386,0.30952448607680294,0.26039604316338927
VMW,0.41043720368003717,0.43790130279258055,0.11454955744268147,0.09727802928864693,False,False,False,True,False,False,False,True,35,36,0.9468687299165883,0.9554079833740037,0.5334282138678336,0.009799372140516988,-0.5236288417273166,0.5432275860083505,-1.0570570555951502,1.076655799876184,0.33885182927680924,0.24209330967513532
SWCH,0.5774686685164423,0.5140810723858389,-0.05684408359709936,-0.011383229608523227,False,False,False,False,False,False,False,False,17,21,2.5925274422997604,1.9429396461978208,2.164533854785306,0.17720954642569717,-1.987324308359609,2.341743401211003,-4.151858163144915,4.506277255996309,0.023224267363176843,0.22075596557145627
EA,0.42023071835585823,0.398856261874621,-0.18983511551664933,0.07031823705502271,False,False,False,True,False,False,False,True,37,44,0.9232654783192318,0.7830065196846181,0.5268637544314093,0.009616178653878924,-0.5172475757775304,0.5364799330852882,-1.0441113302089398,1.0633436875166975,0.22489939899972333,0.19843163137467157
FEYE,0.767631955652481,0.7716638234965366,0.08397419806175677,0.06423101205454929,False,False,False,False,False,False,False,False,31,33,2.1750727208045237,2.0686080866918193,1.2704475614210877,-0.10857952578248672,-1.3790270872035744,1.161868035638601,-2.649474648624662,2.432315597059689,0.15903328336200562,0.2115187375493458
