,API,QFIN,XPEV,TUYA,LI,BILI,VIPS,BIDU,CD,BABA,PDD,IQ,GDS,HTHT,JD,DADA,NIO,ZTO,TCOM,KC,WB
PDD,0.38400623965262726,0.383830143343508,0.4571834602223358,0.15856242318991373,0.4603220314916634,0.5988904499582373,0.8413730378612627,1.256522927715703,0.9514346837866708,1.0237717299400364,1,1.0087098993189372,0.6284235288583195,0.6780168350543895,1.2128846411759886,0.23833136878318487,0.4894418263810394,0.645802412384348,1.12318747752444,0.2937430154040968,0.4864574706824385
IQ,0.2741272339315634,0.2659483953604883,0.2993879421683002,0.13861739790038016,0.3449142921322344,0.41193841240221785,0.5209107512223342,0.7995752357000715,0.6064935845698799,0.6899479869755776,0.4752295310953142,1,0.41904494250617674,0.41167195799799977,0.7110590491239928,0.2123673874118416,0.38271493816973506,0.49893732502269733,0.662972292308911,0.23332125229575204,0.43131586688120216
GDS,0.3645515701424977,0.3259710109651823,0.5649568929608855,0.43308159831175236,0.6594700659337366,0.4069132999816464,0.4750785313531407,0.908408708636296,0.682597186903893,0.6648367297592594,0.532676771555602,0.7024649236373703,1,0.9811059587450519,0.7919516862089747,0.4692836712178493,0.7239724008111719,0.2196668564278603,0.6040471877086456,0.47224755201966295,0.4420050233125451
HTHT,0.24139794866274994,0.29870638110278463,0.4431666901720575,0.31720571627134597,0.5415474799835055,0.28597909959476525,0.3144335495518646,0.5763701967428198,0.5269788558138763,0.4382823114131423,0.3517133751282665,0.451585037846287,0.572589865210573,1,0.5363381354307646,0.35836375758396405,0.5076249725096582,0.31610019495921743,0.5868413731860701,0.3614258600585736,0.3280347108986595
JD,0.3620708745885684,0.2792842898155351,0.2747027406925306,0.15225755180319137,0.3429250985218117,0.48918069300279937,0.5906359498435289,0.9654675048597986,0.731077002412695,0.7807252343857812,0.6058632264532715,0.7699378729391391,0.4496325391388905,0.5484596594807801,1,0.17643735358238033,0.3792236752491604,0.4536821723448308,0.7439290376125121,0.2107931903618705,0.4198216941145199
DADA,0.4346209761585237,0.5087301240518024,0.9280346700884076,0.6995457341569999,1.0869832260667123,0.4841341280736538,0.575314768700229,0.932829982351534,0.6801015181468338,0.7305552816768236,0.583488148920437,0.8243013116675835,0.9701865764652361,1.2556030349676528,0.7831303972780312,1,1.1260049123367535,0.7345027656672157,0.8319293644679441,0.8263326921436801,0.4493333907975748
NIO,0.39527660653857327,0.3828331496664848,0.7276274314800502,0.41051081162133346,0.7975380130458307,0.3720804058240792,0.4647037531286011,0.6816736981172372,0.46557036931679313,0.5371736032217231,0.43940531373982333,0.6042257298305745,0.6353826532254668,0.778230746944852,0.6331798871811744,0.47691437872033227,1,0.5310179858313185,0.5239771839261723,0.4744444563423689,0.36947267495643227
ZTO,0.1993709356044902,0.2013721963700659,0.24038822050522896,0.16578177816646722,0.27390587365017777,0.19840926341454584,0.26447238625385877,0.45854071341738817,0.4040955703174649,0.3500521496602163,0.2606562561289766,0.39343339080516276,0.2149467800100232,0.35497318149372725,0.38371537255545807,0.18520533544173626,0.28644951378786815,1,0.5070314236392336,0.21286071926066893,0.2135865503148202
TCOM,0.2277285123504531,0.19548689742194592,0.24895132857421587,0.13339881661556993,0.2677412970322784,0.2853859001753092,0.39616825043874454,0.5781612674081509,0.5484662652856713,0.4528182212549332,0.37795003403269123,0.510618896582243,0.3242575573555029,0.4333043723497054,0.5322967592153592,0.17019982745589468,0.23941645100531345,0.5021848299146121,1,0.22359162228582605,0.2729873569399689
KC,0.38526989256319455,0.44411579262167933,0.6483380165267884,0.5322915649297697,0.7510154275308986,0.4624998836382927,0.563468345955097,0.7325507305671403,0.7338407452413084,0.7869829658764245,0.5293859354102135,0.6494060602405249,0.7517827857925775,1.0106999844302635,0.7683576207610062,0.5084093278264077,0.8142369538698557,0.7459557603542163,0.8667493460661838,1,0.5534416134986007
WB,0.26816274138587776,0.202630376551138,0.2223439056571548,0.03474152321679745,0.13844042400450343,0.3587023076969676,0.3538477269349322,0.6347073265888473,0.537616481290229,0.5970788275492601,0.3563109754098577,0.5465510099343881,0.31362487873574874,0.37431444241992834,0.5922819107546501,0.13641518469877315,0.28807019196627087,0.3341484986416003,0.5368711675267555,0.23680941720132292,1
