,RF,CFG,STL,FHN,MS,UMPQ,ZION,CMA,FITB,FBP,RY,FNB,USB,JPM,BXS,VIRT,TD,PNC,ISBC,ONB,FRC,HBAN,KEY,ASB,C,NYCB,JEF,WFC,CADE,SBNY,VLY,BNS,PBCT,GS
RY,0.5097353461722692,0.46903874498620896,0.4537738328899442,0.5156177948680069,0.5582936858449988,0.5968285250915452,0.51240834173701,0.44588655325054044,0.5341811592331857,0.4507478966414006,1,0.5119119744070508,0.5790054908966539,0.5809081199869052,0.5768193001699145,0.14812852948575847,0.8468709323789709,0.5859079416188464,0.5656190880376122,0.5962216233181508,0.6532252630322509,0.5486252039381175,0.48044227078166013,0.48433410956886547,0.49912054935874794,0.6907817578880718,0.5158324411147592,0.532594292835647,0.5768288947177469,0.5187654885825133,0.5654571273973718,0.8740786268940557,0.5523274808021121,0.6555916853202135
FNB,0.9235513192180461,0.8602025164833036,0.8422196542560824,0.9464082152620483,0.9466155072954435,1.0727666807366076,0.9813640256261282,0.8342027053750427,0.9517178874372301,0.8285708154167022,1.4699792013371837,1,1.0333112160202211,1.0284146613786913,1.0486652751467949,0.269211685244096,1.3334911035993349,1.047222707234421,1.0666026540843685,1.1298952243475688,1.1525610451166712,1.0020041601614411,0.8673037536893188,0.8831873342517431,0.8684136263616102,1.2565280222761352,0.8989767385655644,0.9577752644858499,1.0488365986090347,0.9309208449007936,1.0456232246866712,1.3853283835947496,1.0250147137450332,1.1297246907294802
USB,0.8463663824474104,0.7768606175855187,0.7519015727671874,0.846946989504693,0.8795945592822372,0.9691343861548567,0.8823177636464682,0.7573746762695185,0.8655989832132377,0.7403680032429771,1.3716238889520875,0.8506159367350425,1,0.9581022744570782,0.9295837626916371,0.2579720598073189,1.241910036604365,0.9773890724963414,0.9479242086046873,0.9921825495377512,1.0560887114325657,0.9134654678196737,0.7917818469197663,0.8027200547430074,0.8011087617925076,1.1343295859234033,0.8165330249140785,0.8908693038405749,0.9296541098659326,0.8356148692642308,0.9295734304271496,1.2843603731959246,0.9294456770537154,1.044109862693966
JPM,0.8135609454409353,0.7538661983146527,0.7274202678516384,0.818266629162489,0.8819054797208646,0.9355193025402734,0.853663189779419,0.7270957955377763,0.8425953978203371,0.7152561580667613,1.3370114525525094,0.8139515936385522,0.9254719207509076,1,0.9018897248900215,0.2415232118208305,1.2076049360108376,0.9472399171792375,0.9094297085475106,0.9565325646518084,1.0510940641296056,0.8849116119939606,0.7640377909802352,0.7759404809135116,0.7939288966026478,1.088155562110224,0.7892848249108243,0.8649586089124673,0.9019709636428471,0.7992442553941079,0.9108183788460346,1.2438855785821612,0.9037945107733446,1.0409755794657487
BXS,0.7511447137527089,0.6783968623517246,0.6947570632759252,0.7759203825956498,0.7646886306901168,0.8815693708490695,0.8096404908477216,0.6710948537132656,0.7641466325157896,0.661617205629313,1.1762069599285911,0.747726892029547,0.8131070316847141,0.8163080737427423,1,0.23296942462319706,1.0552837722116724,0.8405576559619717,0.871137679785564,0.9367309224780863,0.9529833168309839,0.803863724832915,0.6864280863754942,0.7362417972990908,0.6821543366855247,0.9737874477534094,0.7375503644508433,0.7645761660212075,1.0000293383116896,0.7441624586684437,0.890443745852878,1.0922723455251637,0.835161970291187,0.908657674481084
VIRT,0.06304373003908,0.06349707061900521,0.0625104792756721,0.07353106158669073,0.05845118417664832,0.0790855472320582,0.07233985361538264,0.0676556686547274,0.06912674892647776,0.07109791143624501,0.10960644868648647,0.06805521840036376,0.06638511994917025,0.07180562272299873,0.06994218779989513,1,0.10706693565139803,0.06889286270641345,0.11502629666366239,0.0881005560230019,0.07566845820322114,0.07909987966309497,0.06443698623432302,0.033012650974031305,0.05852753317480423,0.10878697966522433,0.05707067715404235,0.06978692306753333,0.06997311465957297,0.09204909448720808,0.08111782479254294,0.11814189948470079,0.08458519973948352,0.08352456209455444
TD,0.5766249969286471,0.5306876403996924,0.5104882132340657,0.5791458178653485,0.6252251445275027,0.6710489296147165,0.5809846357151606,0.5051889802338895,0.5963497969461661,0.49901937818455244,1.0539712220942972,0.5775843354158264,0.6518920628936976,0.6577831451370069,0.6416159432771102,0.17781487598683127,1,0.6602624900065598,0.6337533499429573,0.6746374223866043,0.732251400506185,0.6162897555830675,0.5382641308885933,0.5566820259270807,0.5614604238145089,0.7694661835513034,0.5665945222947096,0.5997422273389933,0.6416424652438618,0.5718210526450683,0.6326455733711159,0.9773520176092355,0.6123565645609398,0.7366182443596965
PNC,0.8276658070103868,0.7585398116606956,0.7381739782664171,0.8290120281584649,0.8680103244686184,0.9409337598260311,0.8584082177614194,0.7339207497823624,0.8437864722654245,0.7105977396568458,1.3140018511972,0.8185280754686824,0.9217203324878812,0.9282553511545207,0.9213456064870765,0.24716858761905933,1.189129570358901,1,0.9241350631373779,0.977768753740801,1.0476955381871322,0.8860821068827802,0.7627306025959979,0.7823971212381208,0.7749834214992039,1.095911748846008,0.7972987943210046,0.8530645615637513,0.9214175450048823,0.8052833525552265,0.9130353305221124,1.232334311034091,0.8984914582909984,1.0087824069633304
ISBC,0.6725532350708909,0.6088020172942252,0.6250654720927815,0.6936872999786432,0.6635867925966799,0.7753588478962714,0.7184708353730356,0.6105233579177021,0.6887779755215354,0.5954487090854137,1.039736091480214,0.6781718200851117,0.7367790470292582,0.734303643236272,0.7807897516595367,0.35349560274705727,0.9409327774965164,0.752514366969033,1,0.8269538828264854,0.8327489291177039,0.7380758879048736,0.6274274145866221,0.6378710892904403,0.6153719674116143,0.9253781784332757,0.640075786098242,0.6857752337584386,0.7808354899379311,0.6793022496827218,0.7891818994407019,0.9910096783103042,0.7490334699296413,0.7896296413814551
ONB,0.6424008514337635,0.5839076195049715,0.587562452925243,0.6581183830950715,0.6483629413358313,0.7443343103094797,0.6954845523806558,0.5750206956523857,0.6701967487478655,0.575468929451834,0.9915000721923443,0.6464722532932479,0.7012848393718183,0.7030653440044334,0.7539404259283912,0.144514313160569,0.8969917961777676,0.7137871246640066,0.7537289217059518,1,0.8096895464854654,0.691659417939197,0.5926567978853703,0.6218952422570733,0.5957456071107488,0.8514278952771308,0.6292958197564059,0.6507709855795483,0.7539764102756532,0.6483599254809244,0.7629111123888717,0.9422603322487597,0.7202087300370751,0.7695855972346766
