,ONB,VIRT,CMA,JPM,BNS,ZION,STL,SBNY,HBAN,UMPQ,PNC,ASB,FBP,JEF,WFC,FITB,RF,BXS,KEY,FNB,TD,FRC,C,GS,CFG,FHN,VLY,PBCT,CADE,USB,NYCB,ISBC,MS,RY
PNC,0.8632879085218778,0.16520682110841456,0.9410759727727319,0.9545621408831689,0.9078892389754165,0.874889216850853,0.9407456490137265,0.868251321292564,0.9390802146473635,0.9225488825790361,1,0.9117786179446177,0.8951861494357577,0.8675287702832205,0.9242172672858995,0.9457739636363396,0.9535393956416638,0.9158829448802204,0.9562569938932166,0.9381981473988166,0.9059288775243218,0.9184152338843976,0.9456636268481091,0.9191866469970787,0.9504765454008239,0.9223218933077544,0.901226528253542,0.8782538326739625,0.9129641382479031,0.9593857694188554,0.8860526401848715,0.8544519235576581,0.9267313792559129,0.912406274120025
ASB,0.8452346403026277,0.07899426842078024,0.8959356597552206,0.9061089776680271,0.8803231677043472,0.8418588733588682,0.9185354029867463,0.8300772232605136,0.8762957872717353,0.9014060724040619,0.9144882351170545,1,0.832699062326622,0.830925907447638,0.8869939839186153,0.9058619694229632,0.922754915528413,0.9061678419666214,0.9114627892842813,0.9058029627471428,0.8823468776535915,0.8808666676422413,0.9041854659980454,0.8862478909482349,0.9038608605328718,0.8856803647141838,0.8923382466039167,0.8533629251887536,0.888501409071436,0.912059172103343,0.8389674751587088,0.8273179790321681,0.8785655873884702,0.8649753663215646
FBP,0.8572264389109705,0.2228473788366322,0.9255603211958241,0.9173771546185565,0.8844020478465242,0.8724917925949133,0.9073632623919919,0.8578635009230078,0.9206480904364764,0.9023884355820646,0.9118214510585784,0.8477634094166357,1,0.8423598748307929,0.9001021140309586,0.9149006945913963,0.9107502304082009,0.8928900760834828,0.9389773290437342,0.9383966815345216,0.8757537195671363,0.8708200580006022,0.9245050502230651,0.8928535836400605,0.911768344274229,0.896871257991986,0.8846129436802028,0.8540382181611454,0.8887505703461409,0.930005813885441,0.8988330816758493,0.854894454803262,0.8812186057561697,0.8827714483396598
JEF,0.849243324292158,0.14172546501951205,0.9090132487052758,0.9155119613724088,0.9010337180657726,0.8573701358455923,0.9219791994890959,0.8605023567321709,0.9084938493806245,0.9049967212152615,0.9238517399479292,0.8886132601517326,0.8790721318145261,1,0.8945003056772937,0.9222463958862455,0.9217168884173361,0.898318517310941,0.9245836035015639,0.9149983187685267,0.8932956836174071,0.902530731322164,0.9315436543231832,0.9165589011791878,0.9075065814983041,0.9029554049840386,0.8858518664062264,0.8573062429129304,0.8942247372606127,0.9218947597833336,0.8719580211444634,0.8365282427396592,0.9135843815051001,0.9101353817158085
WFC,0.8332426495425083,0.196519818802989,0.9247389280059151,0.9391262034430432,0.8924717391524686,0.861012705994531,0.9284503352601234,0.8614226510210609,0.9201803089448611,0.9082623272989649,0.9348224432722514,0.886534062656751,0.8854240368539802,0.8501551216148914,1,0.9169107324072168,0.9305490947604411,0.8855475524289267,0.9374277360336556,0.919346280273593,0.8879321463446713,0.8800291450398443,0.948306136088123,0.9094792243826946,0.9295545405717367,0.9128038037533971,0.8846323306958487,0.8683623375630374,0.8820246395358812,0.9437184459585386,0.8678081432681436,0.8394200867448751,0.9060929760858599,0.8941216971821035
FITB,0.8724861989993836,0.1828986929584394,0.9386358712835413,0.9312610581093157,0.9044550616781599,0.8663857526029806,0.94117165001984,0.8722442169273655,0.9362359714957789,0.9131689912442903,0.9392453563262949,0.8983888601771172,0.8869349386728567,0.8625865567675498,0.9074972097538408,1,0.9536356093550075,0.90112396722338,0.9560864859045431,0.9293458901202915,0.8939837311750187,0.8952741721973538,0.9360216802056994,0.9214470220642773,0.944647950607274,0.9243898227147569,0.9003833535819696,0.8855989811910174,0.8983126722986257,0.9389183439595525,0.8762386626970776,0.8527523605444827,0.9120607465972228,0.8997353732536664
RF,0.8689699692795463,0.17505196408644105,0.9503907319081308,0.9370916387408953,0.9018939573563168,0.8789141221202176,0.9543540263887641,0.8722472406779237,0.9358925614773244,0.9318921481044858,0.9558461589374304,0.9187552311275266,0.8857132191992927,0.8661168549979456,0.9236140436978947,0.9550754103778949,1,0.9211106506820848,0.9631549395311145,0.9347633524815319,0.9018043468376293,0.9056845176631888,0.9406768326295759,0.924325620962267,0.957653365308246,0.9265391802529869,0.906971602808983,0.8827296540687458,0.9184432924056416,0.9520061669595276,0.8751547172812641,0.8648219755295615,0.9245298007586404,0.8974776009259005
BXS,0.8661933816348479,0.16154902048935968,0.8975163393203719,0.8825659783792141,0.8467052530626282,0.8637807092882678,0.925622058245794,0.8423521385040887,0.8923250397825837,0.905450965687023,0.8969054872739799,0.8975552186646201,0.8699858008780876,0.8459981832346887,0.8741854255259173,0.8983904279733047,0.9064033394008382,1,0.9017293941015677,0.903037919363248,0.8470839870895933,0.8830097005230019,0.8814272024042812,0.8814364981206172,0.8944157169474334,0.9025614079156982,0.9170334043450032,0.8555120005404029,0.9949831323714965,0.8887304554535274,0.8311833673395114,0.8435900108918286,0.8679038209013618,0.8475361461617048
KEY,0.8708173409713276,0.19296342673256026,0.9567347643365804,0.9539078540044835,0.9248749813969862,0.886988733460299,0.9535224660606054,0.8861800526375214,0.9554907911747689,0.9331209191184833,0.9561702105749524,0.9051122071763341,0.9159372489227002,0.8663770981704578,0.9293274752314812,0.9581010030709228,0.9625463498703968,0.9126378545540393,1,0.9545820143003154,0.9149602788719866,0.9064688755771886,0.9571116005139574,0.9302383656134864,0.9627808136492948,0.934392339182468,0.9068723289645374,0.8875670207234437,0.909830071232365,0.9652989056784019,0.9012517898529481,0.8728664168004734,0.9257194767640644,0.9170595400058278
FNB,0.8862635084031685,0.15829318770546918,0.9489633480472356,0.9379417070724719,0.9028095215816064,0.8904024310737033,0.9495279926068864,0.8819669984281747,0.9421817182587658,0.9314560297917025,0.9461713454128508,0.910412510851788,0.920105291768805,0.8645580063822131,0.9173257861296704,0.9461302614242758,0.9460402376963397,0.918127206332348,0.9635888136641634,1,0.8980021513291797,0.8982721604487247,0.9441250367166509,0.9196417150873867,0.9505259172161804,0.9273274669753994,0.917282925553306,0.8855068219743366,0.9140068140406731,0.9543408246591712,0.9028389786347567,0.8747827597825102,0.9078229608210532,0.895231730316691
TD,0.8111272678529143,0.15656211427645264,0.8789068709673137,0.9142504391920038,0.9591213637523401,0.8031353331133028,0.8792419742440816,0.8341118678114752,0.883594635987613,0.8872335202067413,0.9067115347854998,0.8810241794970409,0.8544811176599536,0.838658319513836,0.881574999435408,0.9039451714562868,0.9017928193242831,0.8514616824662431,0.9164717124889356,0.8962137417824496,1,0.8662802105695439,0.9185950037334639,0.9059493830529324,0.8978108520129967,0.8681794609965444,0.8459913681609528,0.821594603441849,0.847981970307586,0.9241092891022911,0.8546558792604233,0.7966920993781766,0.9020494344710479,0.9548013727695506
FRC,0.8562953047874191,0.16438229181958977,0.92448316783594,0.9253286134349001,0.8875956827032363,0.8791072328379482,0.9231560122481568,0.8663793146403643,0.9211481353695826,0.9114583380085522,0.9418215117095421,0.9034748396879567,0.8746974553040171,0.8736679032496822,0.8948987852746582,0.9260875928979121,0.9331389607687113,0.9066629016518933,0.9342455707021726,0.9210860702186283,0.890534223936535,1,0.9240058153078544,0.923579050700696,0.9268909199249613,0.9130200085336505,0.9019973514078646,0.875222962195402,0.9038800347741337,0.9276610243795892,0.8701581852525874,0.8387852591696281,0.9148275347145073,0.8946674837456846
C,0.8523641814917298,0.17864424908688517,0.9245740437898923,0.9536281834912411,0.9189303598804749,0.8577204554969033,0.9323615084621661,0.87197648334189,0.9282383561220066,0.91169697716884,0.9423106522656373,0.8945018045805826,0.8953176013309936,0.8667981597851756,0.9315731278584485,0.934227838788421,0.9354086629940188,0.8867095479209973,0.9503693107418271,0.9288048477397857,0.9133367490464698,0.8985092318684484,1,0.9280864281725406,0.9341573973769339,0.9114969158979359,0.8833908306652061,0.8675387227578614,0.8829704425000393,0.9490386125351205,0.8782750540006473,0.8373588798559055,0.9285892630227602,0.91961494617122
GS,0.8413465306286145,0.1535270071564185,0.8979165598915262,0.9375391900743497,0.8896444229927642,0.8323963292733713,0.8962195039030444,0.8521551315167977,0.8994620394754378,0.8975172529637737,0.9210735156871808,0.8790060576116612,0.8690693383268172,0.8756955733176404,0.8890675402957289,0.9178897401431251,0.9168496933092021,0.8771149727537051,0.9257398169789676,0.9095539158031639,0.8998759643991536,0.879768625598553,0.9272980913817352,1,0.9113472180555018,0.8858866079361029,0.8688472170827012,0.8455695195470218,0.8746022749270994,0.9276946686254398,0.8658088158441637,0.8105420072594903,0.9448312064268706,0.9095843046400687
CFG,0.8760567322665219,0.20341234540994502,0.9568967517727417,0.9479686711695254,0.911069271997826,0.8924676610555604,0.9588969889489579,0.8822841095321643,0.9490707132439038,0.9259516952459692,0.9583767893941221,0.9084896977227207,0.9024036247075222,0.8619545767684926,0.9300025785553112,0.9605765006265208,0.9666255236388176,0.918726534436338,0.9726354331612052,0.9535581571121456,0.9030676754586934,0.9076758370311195,0.9477840438692985,0.9241875499120165,1,0.9460814750599331,0.9126007934678412,0.8853305310510888,0.915153627607867,0.958360377980037,0.8738064482418023,0.8575428926320912,0.9260216171243326,0.9063659352018013
